Producer,Day,Value
CN_W_qps,5,0.0
CO_qps,5,0.0
FL_qps,5,0.0
IL_qps,5,0.0
IN_qps,5,0.0
KS_qps,5,0.0
KY_qps,5,0.0
LA_FD_qps,5,0.0
LA_N_qps,5,0.0
LA_S_qps,5,0.0
LA_ST_qps,5,0.0
MD_qps,5,0.0
MI_qps,5,0.0
MS_FD_qps,5,0.0
MS_N_qps,5,0.0
MS_S_qps,5,0.0
MT_qps,5,0.0
MX_NE_qps,5,0.0
MX_SS_qps,5,0.0
ND_qps,5,0.0
NE_qps,5,0.0
NM_E_qps,5,0.0
NM_W_qps,5,0.0
NY_qps,5,0.0
OH_qps,5,0.0
OK_qps,5,0.0
OR_qps,5,0.0
PA_qps,5,0.0
SD_qps,5,0.0
TN_qps,5,0.0
TX_1_qps,5,0.0
TX_10_qps,5,0.0
TX_2_qps,5,0.0
TX_3_qps,5,0.0
TX_4_qps,5,0.0
TX_5_qps,5,0.0
TX_6_qps,5,0.0
TX_7B_qps,5,0.0
TX_7C_qps,5,0.0
TX_8_qps,5,0.0
TX_8A_qps,5,0.0
TX_9_qps,5,0.0
TX_FD_qps,5,0.0
TX_ST_qps,5,0.0
UT_qps,5,0.0
VA_qps,5,0.0
WV_qps,5,0.0
WY_qps,5,0.0
AL_FD_qps,6,0.0
AL_N_qps,6,0.0
AL_S_qps,6,0.0
AL_ST_qps,6,0.0
AR_qps,6,0.0
AZ_qps,6,0.0
CA_qps,6,0.0
CA_FD_qps,6,0.0
CA_ST_qps,6,0.0
CN_W_qps,6,0.0
CO_qps,6,0.0
FL_qps,6,0.0
IL_qps,6,0.0
IN_qps,6,0.0
KS_qps,6,0.0
KY_qps,6,0.0
LA_FD_qps,6,0.0
LA_N_qps,6,0.0
LA_S_qps,6,0.0
LA_ST_qps,6,0.0
MD_qps,6,0.0
MI_qps,6,0.0
MS_FD_qps,6,0.0
MS_N_qps,6,0.0
MS_S_qps,6,0.0
MT_qps,6,0.0
MX_NE_qps,6,0.0
MX_SS_qps,6,0.0
ND_qps,6,0.0
NE_qps,6,0.0
NM_E_qps,6,0.0
NM_W_qps,6,0.0
NY_qps,6,0.0
OH_qps,6,0.0
OK_qps,6,0.0
OR_qps,6,0.0
PA_qps,6,0.0
SD_qps,6,0.0
TN_qps,6,0.0
TX_1_qps,6,0.0
TX_10_qps,6,0.0
TX_2_qps,6,0.0
TX_3_qps,6,0.0
TX_4_qps,6,0.0
TX_5_qps,6,0.0
TX_6_qps,6,0.0
TX_7B_qps,6,0.0
TX_7C_qps,6,0.0
TX_8_qps,6,0.0
TX_8A_qps,6,0.0
TX_9_qps,6,0.0
TX_FD_qps,6,0.0
TX_ST_qps,6,0.0
UT_qps,6,0.0
VA_qps,6,0.0
WV_qps,6,0.0
WY_qps,6,0.0
AL_FD_qps,7,0.0
AL_N_qps,7,0.0
AL_S_qps,7,0.0
AL_ST_qps,7,0.0
AR_qps,7,0.0
AZ_qps,7,0.0
CA_qps,7,0.0
CA_FD_qps,7,0.0
CA_ST_qps,7,0.0
CN_W_qps,7,0.0
CO_qps,7,0.0
FL_qps,7,0.0
IL_qps,7,0.0
IN_qps,7,0.0
KS_qps,7,0.0
KY_qps,7,0.0
LA_FD_qps,7,0.0
LA_N_qps,7,0.0
LA_S_qps,7,0.0
LA_ST_qps,7,0.0
MD_qps,7,0.0
MI_qps,7,0.0
MS_FD_qps,7,0.0
MS_N_qps,7,0.0
MS_S_qps,7,0.0
MT_qps,7,0.0
MX_NE_qps,7,0.0
MX_SS_qps,7,0.0
ND_qps,7,0.0
NE_qps,7,0.0
NM_E_qps,7,0.0
NM_W_qps,7,0.0
NY_qps,7,0.0
OH_qps,7,0.0
OK_qps,7,0.0
OR_qps,7,0.0
PA_qps,7,0.0
SD_qps,7,0.0
TN_qps,7,0.0
TX_1_qps,7,0.0
TX_10_qps,7,0.0
TX_2_qps,7,0.0
TX_3_qps,7,0.0
TX_4_qps,7,0.0
TX_5_qps,7,0.0
TX_6_qps,7,0.0
TX_7B_qps,7,0.0
TX_7C_qps,7,0.0
TX_8_qps,7,0.0
TX_8A_qps,7,0.0
TX_9_qps,7,0.0
TX_FD_qps,7,0.0
TX_ST_qps,7,0.0
UT_qps,7,0.0
VA_qps,7,0.0
WV_qps,7,0.0
WY_qps,7,0.0
AL_FD_qps,8,0.0
AL_N_qps,8,0.0
AL_S_qps,8,0.0
AL_ST_qps,8,0.0
AR_qps,8,0.0
AZ_qps,8,0.0
CA_qps,8,0.0
CA_FD_qps,8,0.0
CA_ST_qps,8,0.0
CN_W_qps,8,0.0
CO_qps,8,0.0
FL_qps,8,0.0
IL_qps,8,0.0
IN_qps,8,0.0
KS_qps,8,0.0
KY_qps,8,0.0
LA_FD_qps,8,0.0
LA_N_qps,8,0.0
LA_S_qps,8,0.0
LA_ST_qps,8,0.0
MD_qps,8,0.0
MI_qps,8,0.0
MS_FD_qps,8,0.0
MS_N_qps,8,0.0
MS_S_qps,8,0.0
MT_qps,8,0.0
MX_NE_qps,8,0.0
MX_SS_qps,8,0.0
ND_qps,8,0.0
NE_qps,8,0.0
NM_E_qps,8,0.0
NM_W_qps,8,0.0
NY_qps,8,0.0
OH_qps,8,0.0
OK_qps,8,0.0
OR_qps,8,0.0
PA_qps,8,0.0
SD_qps,8,0.0
TN_qps,8,0.0
TX_1_qps,8,0.0
TX_10_qps,8,0.0
TX_2_qps,8,0.0
TX_3_qps,8,0.0
TX_4_qps,8,0.0
TX_5_qps,8,0.0
TX_6_qps,8,0.0
TX_7B_qps,8,0.0
TX_7C_qps,8,0.0
TX_8_qps,8,0.0
TX_8A_qps,8,0.0
TX_9_qps,8,0.0
TX_FD_qps,8,0.0
TX_ST_qps,8,0.0
UT_qps,8,0.0
VA_qps,8,0.0
WV_qps,8,0.0
WY_qps,8,0.0
AL_FD_qps,9,0.0
AL_N_qps,9,0.0
AL_S_qps,9,0.0
AL_ST_qps,9,0.0
AR_qps,9,0.0
AZ_qps,9,0.0
CA_qps,9,0.0
CA_FD_qps,9,0.0
CA_ST_qps,9,0.0
CN_W_qps,9,0.0
CO_qps,9,0.0
FL_qps,9,0.0
IL_qps,9,0.0
IN_qps,9,0.0
KS_qps,9,0.0
KY_qps,9,0.0
LA_FD_qps,9,0.0
LA_N_qps,9,0.0
LA_S_qps,9,0.0
LA_ST_qps,9,0.0
MD_qps,9,0.0
MI_qps,9,0.0
MS_FD_qps,9,0.0
MS_N_qps,9,0.0
MS_S_qps,9,0.0
MT_qps,9,0.0
MX_NE_qps,9,0.0
MX_SS_qps,9,0.0
ND_qps,9,0.0
NE_qps,9,0.0
NM_E_qps,9,0.0
NM_W_qps,9,0.0
NY_qps,9,0.0
OH_qps,9,0.0
OK_qps,9,0.0
OR_qps,9,0.0
PA_qps,9,0.0
SD_qps,9,0.0
TN_qps,9,0.0
TX_1_qps,9,0.0
TX_10_qps,9,0.0
TX_2_qps,9,0.0
TX_3_qps,9,0.0
TX_4_qps,9,0.0
TX_5_qps,9,0.0
TX_6_qps,9,0.0
TX_7B_qps,9,0.0
TX_7C_qps,9,0.0
TX_8_qps,9,0.0
TX_8A_qps,9,0.0
TX_9_qps,9,0.0
TX_FD_qps,9,0.0
TX_ST_qps,9,0.0
UT_qps,9,0.0
VA_qps,9,0.0
WV_qps,9,0.0
WY_qps,9,0.0
AL_FD_qps,10,0.0
AL_N_qps,10,0.0
AL_S_qps,10,0.0
AL_ST_qps,10,0.0
AR_qps,10,0.0
AZ_qps,10,0.0
CA_qps,10,0.0
CA_FD_qps,10,0.0
CA_ST_qps,10,0.0
CN_W_qps,10,0.0
CO_qps,10,0.0
FL_qps,10,0.0
IL_qps,10,0.0
IN_qps,10,0.0
KS_qps,10,0.0
KY_qps,10,0.0
LA_FD_qps,10,0.0
LA_N_qps,10,0.0
LA_S_qps,10,0.0
LA_ST_qps,10,0.0
MD_qps,10,0.0
MI_qps,10,0.0
MS_FD_qps,10,0.0
MS_N_qps,10,0.0
MS_S_qps,10,0.0
MT_qps,10,0.0
MX_NE_qps,10,0.0
MX_SS_qps,10,0.0
ND_qps,10,0.0
NE_qps,10,0.0
NM_E_qps,10,0.0
NM_W_qps,10,0.0
NY_qps,10,0.0
OH_qps,10,0.0
OK_qps,10,0.0
OR_qps,10,0.0
PA_qps,10,0.0
SD_qps,10,0.0
TN_qps,10,0.0
TX_1_qps,10,0.0
TX_10_qps,10,0.0
TX_2_qps,10,0.0
TX_3_qps,10,0.0
TX_4_qps,10,0.0
TX_5_qps,10,0.0
TX_6_qps,10,0.0
TX_7B_qps,10,0.0
TX_7C_qps,10,0.0
TX_8_qps,10,0.0
TX_8A_qps,10,0.0
TX_9_qps,10,0.0
TX_FD_qps,10,0.0
TX_ST_qps,10,0.0
UT_qps,10,0.0
VA_qps,10,0.0
WV_qps,10,0.0
WY_qps,10,0.0
AL_FD_qps,11,0.0
AL_N_qps,11,0.0
AL_S_qps,11,0.0
AL_ST_qps,11,0.0
AR_qps,11,0.0
AZ_qps,11,0.0
CA_qps,11,0.0
CA_FD_qps,11,0.0
CA_ST_qps,11,0.0
CN_W_qps,11,0.0
CO_qps,11,0.0
FL_qps,11,0.0
IL_qps,11,0.0
IN_qps,11,0.0
KS_qps,11,0.0
KY_qps,11,0.0
LA_FD_qps,11,0.0
LA_N_qps,11,0.0
LA_S_qps,11,0.0
LA_ST_qps,11,0.0
MD_qps,11,0.0
MI_qps,11,0.0
MS_FD_qps,11,0.0
MS_N_qps,11,0.0
MS_S_qps,11,0.0
MT_qps,11,0.0
MX_NE_qps,11,0.0
MX_SS_qps,11,0.0
ND_qps,11,0.0
NE_qps,11,0.0
NM_E_qps,11,0.0
NM_W_qps,11,0.0
NY_qps,11,0.0
OH_qps,11,0.0
OK_qps,11,0.0
OR_qps,11,0.0
PA_qps,11,0.0
SD_qps,11,0.0
TN_qps,11,0.0
TX_1_qps,11,0.0
TX_10_qps,11,0.0
TX_2_qps,11,0.0
TX_3_qps,11,0.0
TX_4_qps,11,0.0
TX_5_qps,11,0.0
TX_6_qps,11,0.0
TX_7B_qps,11,0.0
TX_7C_qps,11,0.0
TX_8_qps,11,0.0
TX_8A_qps,11,0.0
TX_9_qps,11,0.0
TX_FD_qps,11,0.0
TX_ST_qps,11,0.0
UT_qps,11,0.0
VA_qps,11,0.0
WV_qps,11,0.0
WY_qps,11,0.0
AL_FD_qps,12,0.0
AL_N_qps,12,0.0
AL_S_qps,12,0.0
AL_ST_qps,12,0.0
AR_qps,12,0.0
AZ_qps,12,0.0
CA_qps,12,0.0
CA_FD_qps,12,0.0
CA_ST_qps,12,0.0
CN_W_qps,12,0.0
CO_qps,12,0.0
FL_qps,12,0.0
IL_qps,12,0.0
IN_qps,12,0.0
KS_qps,12,0.0
KY_qps,12,0.0
LA_FD_qps,12,0.0
LA_N_qps,12,0.0
LA_S_qps,12,0.0
LA_ST_qps,12,0.0
MD_qps,12,0.0
MI_qps,12,0.0
MS_FD_qps,12,0.0
MS_N_qps,12,0.0
MS_S_qps,12,0.0
MT_qps,12,0.0
MX_NE_qps,12,0.0
MX_SS_qps,12,0.0
ND_qps,12,0.0
NE_qps,12,0.0
NM_E_qps,12,0.0
NM_W_qps,12,0.0
NY_qps,12,0.0
OH_qps,12,0.0
OK_qps,12,0.0
OR_qps,12,0.0
PA_qps,12,0.0
SD_qps,12,0.0
TN_qps,12,0.0
TX_1_qps,12,0.0
TX_10_qps,12,0.0
TX_2_qps,12,0.0
TX_3_qps,12,0.0
TX_4_qps,12,0.0
TX_5_qps,12,0.0
TX_6_qps,12,0.0
TX_7B_qps,12,0.0
TX_7C_qps,12,0.0
TX_8_qps,12,0.0
TX_8A_qps,12,0.0
TX_9_qps,12,0.0
TX_FD_qps,12,0.0
TX_ST_qps,12,0.0
UT_qps,12,0.0
VA_qps,12,0.0
WV_qps,12,0.0
WY_qps,12,0.0
AL_FD_qps,13,0.0
AL_N_qps,13,0.0
AL_S_qps,13,0.0
AL_ST_qps,13,0.0
AR_qps,13,0.0
AZ_qps,13,0.0
CA_qps,13,0.0
CA_FD_qps,13,0.0
CA_ST_qps,13,0.0
CN_W_qps,13,0.0
CO_qps,13,0.0
FL_qps,13,0.0
IL_qps,13,0.0
IN_qps,13,0.0
KS_qps,13,0.0
KY_qps,13,0.0
LA_FD_qps,13,0.0
LA_N_qps,13,0.0
LA_S_qps,13,0.0
LA_ST_qps,13,0.0
MD_qps,13,0.0
MI_qps,13,0.0
MS_FD_qps,13,0.0
MS_N_qps,13,0.0
MS_S_qps,13,0.0
MT_qps,13,0.0
MX_NE_qps,13,0.0
MX_SS_qps,13,0.0
ND_qps,13,0.0
NE_qps,13,0.0
NM_E_qps,13,0.0
NM_W_qps,13,0.0
NY_qps,13,0.0
OH_qps,13,0.0
OK_qps,13,0.0
OR_qps,13,0.0
PA_qps,13,0.0
SD_qps,13,0.0
TN_qps,13,0.0
TX_1_qps,13,0.0
TX_10_qps,13,0.0
TX_2_qps,13,0.0
TX_3_qps,13,0.0
TX_4_qps,13,0.0
TX_5_qps,13,0.0
TX_6_qps,13,0.0
TX_7B_qps,13,0.0
TX_7C_qps,13,0.0
TX_8_qps,13,0.0
TX_8A_qps,13,0.0
TX_9_qps,13,0.0
TX_FD_qps,13,0.0
TX_ST_qps,13,0.0
UT_qps,13,0.0
VA_qps,13,0.0
WV_qps,13,0.0
WY_qps,13,0.0
AL_FD_qps,14,0.0
AL_N_qps,14,0.0
AL_S_qps,14,0.0
AL_ST_qps,14,0.0
AR_qps,14,0.0
AZ_qps,14,0.0
CA_qps,14,0.0
CA_FD_qps,14,0.0
CA_ST_qps,14,0.0
CN_W_qps,14,0.0
CO_qps,14,0.0
FL_qps,14,0.0
IL_qps,14,0.0
IN_qps,14,0.0
KS_qps,14,0.0
KY_qps,14,0.0
LA_FD_qps,14,0.0
LA_N_qps,14,0.0
LA_S_qps,14,0.0
LA_ST_qps,14,0.0
MD_qps,14,0.0
MI_qps,14,0.0
MS_FD_qps,14,0.0
MS_N_qps,14,0.0
MS_S_qps,14,0.0
MT_qps,14,0.0
MX_NE_qps,14,0.0
MX_SS_qps,14,0.0
ND_qps,14,0.0
NE_qps,14,0.0
NM_E_qps,14,0.0
NM_W_qps,14,0.0
NY_qps,14,0.0
OH_qps,14,0.0
OK_qps,14,0.0
OR_qps,14,0.0
PA_qps,14,0.0
SD_qps,14,0.0
TN_qps,14,0.0
TX_1_qps,14,0.0
TX_10_qps,14,0.0
TX_2_qps,14,0.0
TX_3_qps,14,0.0
TX_4_qps,14,0.0
TX_5_qps,14,0.0
TX_6_qps,14,0.0
TX_7B_qps,14,0.0
TX_7C_qps,14,0.0
TX_8_qps,14,0.0
TX_8A_qps,14,0.0
TX_9_qps,14,0.0
TX_FD_qps,14,0.0
TX_ST_qps,14,0.0
UT_qps,14,0.0
VA_qps,14,0.0
WV_qps,14,0.0
WY_qps,14,0.0
AL_FD_qps,15,0.0
AL_N_qps,15,0.0
AL_S_qps,15,0.0
AL_ST_qps,15,0.0
AR_qps,15,0.0
AZ_qps,15,0.0
CA_qps,15,0.0
CA_FD_qps,15,0.0
CA_ST_qps,15,0.0
CN_W_qps,15,0.0
CO_qps,15,0.0
FL_qps,15,0.0
IL_qps,15,0.0
IN_qps,15,0.0
KS_qps,15,0.0
KY_qps,15,0.0
LA_FD_qps,15,0.0
LA_N_qps,15,0.0
LA_S_qps,15,0.0
LA_ST_qps,15,0.0
MD_qps,15,0.0
MI_qps,15,0.0
MS_FD_qps,15,0.0
MS_N_qps,15,0.0
MS_S_qps,15,0.0
MT_qps,15,0.0
MX_NE_qps,15,0.0
MX_SS_qps,15,0.0
ND_qps,15,0.0
NE_qps,15,0.0
NM_E_qps,15,0.0
NM_W_qps,15,0.0
NY_qps,15,0.0
OH_qps,15,0.0
OK_qps,15,0.0
OR_qps,15,0.0
PA_qps,15,0.0
SD_qps,15,0.0
TN_qps,15,0.0
TX_1_qps,15,0.0
TX_10_qps,15,0.0
TX_2_qps,15,0.0
TX_3_qps,15,0.0
TX_4_qps,15,0.0
TX_5_qps,15,0.0
TX_6_qps,15,0.0
TX_7B_qps,15,0.0
TX_7C_qps,15,0.0
TX_8_qps,15,0.0
TX_8A_qps,15,0.0
TX_9_qps,15,0.0
TX_FD_qps,15,0.0
TX_ST_qps,15,0.0
UT_qps,15,0.0
VA_qps,15,0.0
WV_qps,15,0.0
WY_qps,15,0.0
AL_FD_qps,16,0.0
AL_N_qps,16,0.0
AL_S_qps,16,0.0
AL_ST_qps,16,0.0
AR_qps,16,0.0
AZ_qps,16,0.0
CA_qps,16,0.0
CA_FD_qps,16,0.0
CA_ST_qps,16,0.0
CN_W_qps,16,0.0
CO_qps,16,0.0
FL_qps,16,0.0
IL_qps,16,0.0
IN_qps,16,0.0
KS_qps,16,0.0
KY_qps,16,0.0
LA_FD_qps,16,0.0
LA_N_qps,16,0.0
LA_S_qps,16,0.0
LA_ST_qps,16,0.0
MD_qps,16,0.0
MI_qps,16,0.0
MS_FD_qps,16,0.0
MS_N_qps,16,0.0
MS_S_qps,16,0.0
MT_qps,16,0.0
MX_NE_qps,16,0.0
MX_SS_qps,16,0.0
ND_qps,16,0.0
NE_qps,16,0.0
NM_E_qps,16,0.0
NM_W_qps,16,0.0
NY_qps,16,0.0
OH_qps,16,0.0
OK_qps,16,0.0
OR_qps,16,0.0
