Node,Day,Value
TN,4,-999.0
TX,4,-999.0
UT,4,-999.0
VA,4,-999.0
VT,4,-999.0
WA,4,-999.0
WV,4,-999.0
WI,4,-999.0
WY,4,-999.0
ME_CN_E,4,-999.0
NH_CN_E,4,-999.0
VT_CN_E,4,-999.0
NY_CN_E,4,-999.0
MI_CN_E,4,-999.0
MN_CN_W,4,-999.0
ND_CN_W,4,-999.0
MT_CN_W,4,-999.0
ID_CN_W,4,-999.0
WA_CN_W,4,-999.0
TX_MX_NE,4,-999.0
AZ_MX_NW,4,-999.0
CA_MX_NW,4,-999.0
TX_MX_SS,4,-999.0
MX_NE,4,-999.0
MX_NW,4,-999.0
MX_IW,4,-999.0
MX_CE,4,-999.0
MX_SS,4,-999.0
CN_E,4,-999.0
CN_W,4,-999.0
AL,5,-999.0
AZ,5,-999.0
AR,5,-999.0
CA,5,-999.0
CO,5,-999.0
CT,5,-999.0
DC,5,-999.0
DE,5,-999.0
FL,5,-999.0
GA,5,-999.0
ID,5,-999.0
IL,5,-999.0
IN,5,-999.0
IA,5,-999.0
KS,5,-999.0
KY,5,-999.0
LA,5,-999.0
ME,5,-999.0
MD,5,-999.0
MA,5,-999.0
MI,5,-999.0
MN,5,-999.0
MS,5,-999.0
MO,5,-999.0
MT,5,-999.0
NE,5,-999.0
NV,5,-999.0
NH,5,-999.0
NJ,5,-999.0
NM,5,-999.0
NY,5,-999.0
NC,5,-999.0
ND,5,-999.0
OH,5,-999.0
OK,5,-999.0
OR,5,-999.0
PA,5,-999.0
RI,5,-999.0
SC,5,-999.0
SD,5,-999.0
TN,5,-999.0
TX,5,-999.0
UT,5,-999.0
VA,5,-999.0
VT,5,-999.0
WA,5,-999.0
WV,5,-999.0
WI,5,-999.0
WY,5,-999.0
ME_CN_E,5,-999.0
NH_CN_E,5,-999.0
VT_CN_E,5,-999.0
NY_CN_E,5,-999.0
MI_CN_E,5,-999.0
MN_CN_W,5,-999.0
ND_CN_W,5,-999.0
MT_CN_W,5,-999.0
ID_CN_W,5,-999.0
WA_CN_W,5,-999.0
TX_MX_NE,5,-999.0
AZ_MX_NW,5,-999.0
CA_MX_NW,5,-999.0
TX_MX_SS,5,-999.0
MX_NE,5,-999.0
MX_NW,5,-999.0
MX_IW,5,-999.0
MX_CE,5,-999.0
MX_SS,5,-999.0
CN_E,5,-999.0
CN_W,5,-999.0
AL,6,-999.0
AZ,6,-999.0
AR,6,-999.0
CA,6,-999.0
CO,6,-999.0
CT,6,-999.0
DC,6,-999.0
DE,6,-999.0
FL,6,-999.0
GA,6,-999.0
ID,6,-999.0
IL,6,-999.0
IN,6,-999.0
IA,6,-999.0
KS,6,-999.0
KY,6,-999.0
LA,6,-999.0
ME,6,-999.0
MD,6,-999.0
MA,6,-999.0
MI,6,-999.0
MN,6,-999.0
MS,6,-999.0
MO,6,-999.0
MT,6,-999.0
NE,6,-999.0
NV,6,-999.0
NH,6,-999.0
NJ,6,-999.0
NM,6,-999.0
NY,6,-999.0
NC,6,-999.0
ND,6,-999.0
OH,6,-999.0
OK,6,-999.0
OR,6,-999.0
PA,6,-999.0
RI,6,-999.0
SC,6,-999.0
SD,6,-999.0
TN,6,-999.0
TX,6,-999.0
UT,6,-999.0
VA,6,-999.0
VT,6,-999.0
WA,6,-999.0
WV,6,-999.0
WI,6,-999.0
WY,6,-999.0
ME_CN_E,6,-999.0
NH_CN_E,6,-999.0
VT_CN_E,6,-999.0
NY_CN_E,6,-999.0
MI_CN_E,6,-999.0
MN_CN_W,6,-999.0
ND_CN_W,6,-999.0
MT_CN_W,6,-999.0
ID_CN_W,6,-999.0
WA_CN_W,6,-999.0
TX_MX_NE,6,-999.0
AZ_MX_NW,6,-999.0
CA_MX_NW,6,-999.0
TX_MX_SS,6,-999.0
MX_NE,6,-999.0
MX_NW,6,-999.0
MX_IW,6,-999.0
MX_CE,6,-999.0
MX_SS,6,-999.0
CN_E,6,-999.0
CN_W,6,-999.0
AL,7,-999.0
AZ,7,-999.0
AR,7,-999.0
CA,7,-999.0
CO,7,-999.0
CT,7,-999.0
DC,7,-999.0
DE,7,-999.0
FL,7,-999.0
GA,7,-999.0
ID,7,-999.0
IL,7,-999.0
IN,7,-999.0
IA,7,-999.0
KS,7,-999.0
KY,7,-999.0
LA,7,-999.0
ME,7,-999.0
MD,7,-999.0
MA,7,-999.0
MI,7,-999.0
MN,7,-999.0
MS,7,-999.0
MO,7,-999.0
MT,7,-999.0
NE,7,-999.0
NV,7,-999.0
NH,7,-999.0
NJ,7,-999.0
NM,7,-999.0
NY,7,-999.0
NC,7,-999.0
ND,7,-999.0
OH,7,-999.0
OK,7,-999.0
OR,7,-999.0
PA,7,-999.0
RI,7,-999.0
SC,7,-999.0
SD,7,-999.0
TN,7,-999.0
TX,7,-999.0
UT,7,-999.0
VA,7,-999.0
VT,7,-999.0
WA,7,-999.0
WV,7,-999.0
WI,7,-999.0
WY,7,-999.0
ME_CN_E,7,-999.0
NH_CN_E,7,-999.0
VT_CN_E,7,-999.0
NY_CN_E,7,-999.0
MI_CN_E,7,-999.0
MN_CN_W,7,-999.0
ND_CN_W,7,-999.0
MT_CN_W,7,-999.0
ID_CN_W,7,-999.0
WA_CN_W,7,-999.0
TX_MX_NE,7,-999.0
AZ_MX_NW,7,-999.0
CA_MX_NW,7,-999.0
TX_MX_SS,7,-999.0
MX_NE,7,-999.0
MX_NW,7,-999.0
MX_IW,7,-999.0
MX_CE,7,-999.0
MX_SS,7,-999.0
CN_E,7,-999.0
CN_W,7,-999.0
AL,8,-999.0
AZ,8,-999.0
AR,8,-999.0
CA,8,-999.0
CO,8,-999.0
CT,8,-999.0
DC,8,-999.0
DE,8,-999.0
FL,8,-999.0
GA,8,-999.0
ID,8,-999.0
IL,8,-999.0
IN,8,-999.0
IA,8,-999.0
KS,8,-999.0
KY,8,-999.0
LA,8,-999.0
ME,8,-999.0
MD,8,-999.0
MA,8,-999.0
MI,8,-999.0
MN,8,-999.0
MS,8,-999.0
MO,8,-999.0
MT,8,-999.0
NE,8,-999.0
NV,8,-999.0
NH,8,-999.0
NJ,8,-999.0
NM,8,-999.0
NY,8,-999.0
NC,8,-999.0
ND,8,-999.0
OH,8,-999.0
OK,8,-999.0
OR,8,-999.0
PA,8,-999.0
RI,8,-999.0
SC,8,-999.0
SD,8,-999.0
TN,8,-999.0
TX,8,-999.0
UT,8,-999.0
VA,8,-999.0
VT,8,-999.0
WA,8,-999.0
WV,8,-999.0
WI,8,-999.0
WY,8,-999.0
ME_CN_E,8,-999.0
NH_CN_E,8,-999.0
VT_CN_E,8,-999.0
NY_CN_E,8,-999.0
MI_CN_E,8,-999.0
MN_CN_W,8,-999.0
ND_CN_W,8,-999.0
MT_CN_W,8,-999.0
ID_CN_W,8,-999.0
WA_CN_W,8,-999.0
TX_MX_NE,8,-999.0
AZ_MX_NW,8,-999.0
CA_MX_NW,8,-999.0
TX_MX_SS,8,-999.0
MX_NE,8,-999.0
MX_NW,8,-999.0
MX_IW,8,-999.0
MX_CE,8,-999.0
MX_SS,8,-999.0
CN_E,8,-999.0
CN_W,8,-999.0
AL,9,-999.0
AZ,9,-999.0
AR,9,-999.0
CA,9,-999.0
CO,9,-999.0
CT,9,-999.0
DC,9,-999.0
DE,9,-999.0
FL,9,-999.0
GA,9,-999.0
ID,9,-999.0
IL,9,-999.0
IN,9,-999.0
IA,9,-999.0
KS,9,-999.0
KY,9,-999.0
LA,9,-999.0
ME,9,-999.0
MD,9,-999.0
MA,9,-999.0
MI,9,-999.0
MN,9,-999.0
MS,9,-999.0
MO,9,-999.0
MT,9,-999.0
NE,9,-999.0
NV,9,-999.0
NH,9,-999.0
NJ,9,-999.0
NM,9,-999.0
NY,9,-999.0
NC,9,-999.0
ND,9,-999.0
OH,9,-999.0
OK,9,-999.0
OR,9,-999.0
PA,9,-999.0
RI,9,-999.0
SC,9,-999.0
SD,9,-999.0
TN,9,-999.0
