time_utc,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2019-07-26,4.139,2.015,2.908,10.388,1.385,1.579,0.264,0.593,9.357,4.436,1.946,0.411,8.026,4.607,1.272,2.192,8.784,2.039,1.492,0.226,5.722,1.534,1.304,3.429,0.221,2.935,0.33,0.737,0.347,4.179,0.949,1.76,6.789,7.043,3.999,1.079,7.506,0.531,1.968,0.299,1.939,23.573,0.989,4.016,0.039,1.121,3.529,0.543,0.309
2019-07-27,3.916,1.875,2.966,9.899,1.374,1.49,0.224,0.559,9.109,4.173,1.647,0.406,2.487,3.987,1.181,1.416,8.306,1.872,1.368,0.213,3.518,1.188,1.177,3.263,0.054,2.739,0.315,0.651,0.328,3.953,0.936,1.727,6.299,5.316,3.826,1.202,6.785,0.501,1.868,0.274,1.767,22.862,1.083,3.774,0.0,1.348,0.781,0.443,0.329
2019-07-28,3.768,1.789,2.974,9.264,1.427,1.398,0.127,0.545,9.12,3.977,1.523,0.444,0.0,3.497,1.125,1.302,8.018,1.588,1.189,0.208,0.0,2.14,1.002,3.132,0.262,2.576,0.269,0.643,0.325,3.357,0.889,1.71,5.412,3.859,3.746,1.23,6.159,0.49,1.854,0.328,1.726,22.633,1.039,3.629,0.019,1.504,0.21,0.369,0.37
2019-07-29,4.066,1.926,3.043,10.077,1.387,1.292,0.007,0.587,9.504,4.281,1.774,0.383,2.303,3.989,1.124,1.453,8.611,1.165,1.073,0.199,0.0,2.941,1.044,3.378,0.275,2.772,0.459,0.748,0.36,2.863,0.912,1.744,4.411,3.365,3.951,1.318,5.971,0.511,1.961,0.399,1.854,23.862,0.831,3.844,0.0,1.547,1.082,0.352,0.378
2019-07-30,4.158,1.969,2.991,10.551,1.336,1.235,0.0,0.597,9.556,4.374,2.478,0.408,10.893,4.222,1.226,1.523,8.81,0.905,0.979,0.194,4.426,3.748,1.245,3.453,0.111,2.784,0.48,0.872,0.371,2.775,0.931,1.759,4.218,4.302,4.027,1.382,6.033,0.512,1.978,0.455,1.805,24.145,0.669,3.878,0.0,1.598,5.145,0.39,0.311
2019-07-31,4.192,1.961,2.801,10.633,1.075,1.373,0.11,0.599,9.423,4.389,2.392,0.404,13.791,5.82,1.218,1.551,8.777,1.198,1.258,0.199,11.187,3.646,1.433,3.483,0.068,2.855,0.385,0.82,0.361,3.249,0.917,1.739,5.148,6.565,4.015,1.358,6.691,0.514,1.945,0.374,1.85,24.012,0.791,3.967,0.0,1.575,5.157,0.459,0.264
2019-08-01,4.264,1.981,2.963,11.747,1.747,1.103,0.045,0.541,9.776,4.22,2.017,0.414,5.579,4.71,1.197,1.447,8.952,0.877,0.971,0.157,4.63,1.417,1.354,3.611,0.0,2.812,0.206,0.748,0.345,2.631,1.05,1.856,4.097,5.356,4.31,1.487,6.381,0.538,1.929,0.285,1.884,25.963,0.944,3.882,0.037,1.544,2.355,0.382,0.324
2019-08-02,4.167,1.97,3.024,11.535,1.964,1.283,0.077,0.53,9.635,4.136,1.984,0.398,5.426,4.491,1.23,1.85,8.898,1.336,1.053,0.17,4.154,0.761,1.377,3.526,0.0,2.763,0.21,0.786,0.326,3.256,1.043,1.858,5.007,5.296,4.282,1.492,6.736,0.545,1.913,0.296,1.815,25.695,0.82,3.85,0.036,1.463,2.295,0.404,0.322
2019-08-03,3.939,1.861,3.036,10.918,1.153,1.12,0.046,0.5,9.347,3.916,1.712,0.424,4.823,4.038,1.231,1.278,8.398,1.094,0.911,0.157,2.958,0.716,1.191,3.344,0.027,2.617,0.218,0.733,0.312,2.757,1.022,1.828,4.138,5.065,4.085,1.323,6.044,0.509,1.817,0.276,1.651,24.709,0.644,3.617,0.017,1.714,1.109,0.359,0.236
2019-08-04,3.788,1.781,3.078,10.293,1.005,1.036,0.019,0.488,9.422,3.761,1.568,0.363,2.184,3.334,1.153,1.23,8.1,1.091,0.81,0.161,1.755,0.753,1.088,3.21,0.091,2.495,0.18,0.654,0.307,2.357,1.04,1.801,3.719,3.854,3.987,1.188,5.678,0.499,1.804,0.238,1.64,24.233,0.584,3.493,0.051,1.313,0.527,0.366,0.195
2019-08-05,4.079,1.904,3.181,11.007,1.548,1.372,0.063,0.523,9.738,4.083,1.57,0.353,1.257,3.193,1.143,1.282,8.707,1.693,0.997,0.182,1.551,0.907,1.083,3.46,0.043,2.78,0.234,0.645,0.314,3.17,1.057,1.837,5.07,2.903,4.204,1.27,6.788,0.551,1.911,0.232,1.734,25.608,0.665,3.794,0.057,1.014,0.531,0.379,0.243
2019-08-06,4.187,1.93,3.157,11.428,1.084,1.321,0.039,0.532,9.75,4.146,1.63,0.337,1.331,3.394,1.09,1.255,8.928,1.626,0.94,0.178,2.124,1.26,0.922,3.567,0.041,2.77,0.266,0.638,0.327,2.993,1.046,1.864,4.409,3.102,4.301,1.411,6.257,0.558,1.926,0.266,1.696,25.974,0.617,3.843,0.024,1.027,0.693,0.363,0.243
2019-08-07,4.232,1.905,3.017,11.567,1.053,1.182,0.019,0.535,9.636,4.111,1.654,0.346,2.54,3.499,1.117,1.374,8.898,1.44,0.883,0.182,2.411,1.307,0.998,3.608,0.122,2.71,0.365,0.645,0.323,2.688,1.058,1.845,4.001,3.873,4.288,1.499,6.155,0.546,1.887,0.275,1.72,25.817,0.616,3.815,0.02,1.123,1.485,0.39,0.239
2019-08-08,4.288,1.934,3.025,11.807,1.408,1.169,0.05,0.541,9.842,4.126,1.71,0.389,1.065,3.358,1.19,1.342,8.978,1.004,0.984,0.175,2.763,2.131,1.007,3.657,0.044,2.737,0.417,0.674,0.345,2.627,1.05,1.866,4.106,3.607,4.307,1.591,6.529,0.542,1.921,0.348,1.792,26.097,0.955,3.874,0.008,1.442,1.808,0.426,0.324
2019-08-09,4.186,1.953,2.959,11.679,1.572,1.208,0.048,0.531,9.866,4.038,2.074,0.492,4.599,4.085,1.195,1.675,8.924,1.161,0.964,0.167,4.534,2.234,0.991,3.571,0.149,2.612,0.371,0.71,0.331,2.78,1.053,1.838,4.513,4.709,4.275,1.574,6.804,0.54,1.895,0.331,1.685,25.855,1.059,3.784,0.041,1.789,2.33,0.416,0.346
2019-08-10,3.957,1.836,2.905,11.185,1.297,1.346,0.131,0.499,9.549,3.828,1.885,0.49,4.243,4.165,1.041,1.353,8.416,1.517,1.17,0.171,4.283,1.644,0.917,3.346,0.323,2.468,0.299,0.578,0.297,3.278,1.077,1.785,5.382,5.817,4.098,1.497,7.263,0.52,1.801,0.295,1.573,24.903,0.857,3.653,0.055,1.739,2.166,0.496,0.307
2019-08-11,3.812,1.748,2.876,10.622,1.671,1.45,0.147,0.485,9.531,3.675,1.59,0.581,3.526,3.655,0.944,1.301,8.135,1.773,1.201,0.171,3.507,1.031,0.751,3.242,0.341,2.485,0.35,0.56,0.295,3.566,1.033,1.741,5.886,4.74,4.015,1.456,7.309,0.524,1.796,0.27,1.609,24.514,0.855,3.599,0.054,1.74,2.091,0.501,0.307
2019-08-12,4.126,1.85,3.007,11.227,1.601,1.365,0.123,0.521,9.911,3.954,1.569,0.662,2.387,3.299,0.961,1.274,8.748,1.483,1.181,0.173,1.81,1.305,0.709,3.53,0.363,2.711,0.405,0.621,0.323,3.538,1.091,1.79,5.476,3.409,4.228,1.545,6.997,0.549,1.902,0.294,1.614,25.769,1.114,3.837,0.04,1.799,2.236,0.401,0.44
2019-08-13,4.238,1.895,3.031,11.516,1.568,1.293,0.055,0.531,9.932,4.036,1.697,0.587,2.976,2.864,1.044,1.096,8.961,1.216,0.989,0.169,2.255,1.802,0.714,3.634,0.353,2.646,0.42,0.663,0.335,2.991,1.043,1.835,4.673,2.946,4.303,1.496,6.522,0.547,1.918,0.325,1.484,26.092,1.006,3.795,0.024,1.755,2.309,0.318,0.464
2019-08-14,4.24,1.914,3.058,11.387,1.644,1.368,0.005,0.535,9.761,4.086,2.007,0.493,4.351,3.436,1.169,1.231,8.911,1.545,0.838,0.182,3.689,2.238,0.96,3.615,0.337,2.609,0.416,0.803,0.323,3.416,1.032,1.848,5.58,3.922,4.274,1.472,6.663,0.555,1.884,0.384,1.597,25.816,0.842,3.753,0.058,1.568,2.354,0.374,0.419
2019-08-15,4.28,1.941,3.135,11.393,1.364,1.414,0.05,0.54,9.844,4.164,2.144,0.5,5.369,4.168,1.24,1.338,8.97,1.855,0.985,0.185,4.558,2.102,1.245,3.645,0.292,2.721,0.415,0.879,0.321,3.596,1.07,1.886,6.022,4.387,4.307,1.518,6.911,0.568,1.925,0.38,1.744,26.028,0.762,3.843,0.059,1.709,2.37,0.35,0.372
2019-08-16,4.186,1.932,3.028,11.332,1.469,1.39,0.023,0.531,9.73,4.089,1.978,0.572,4.804,4.018,1.108,1.835,8.919,1.72,0.888,0.183,4.634,1.774,1.129,3.565,0.348,2.672,0.38,0.807,0.32,3.136,1.048,1.868,5.162,5.042,4.291,1.579,6.429,0.558,1.905,0.343,1.783,25.851,0.828,3.774,0.046,1.811,2.321,0.369,0.428
2019-08-17,3.966,1.813,2.923,11.06,1.372,1.179,0.0,0.501,9.425,3.872,1.655,0.589,2.394,3.348,1.012,1.141,8.418,1.405,0.771,0.172,3.297,1.317,0.834,3.377,0.349,2.485,0.356,0.685,0.299,2.536,1.011,1.812,3.894,2.963,4.11,1.505,5.647,0.518,1.808,0.309,1.59,24.975,0.872,3.546,0.033,1.771,1.596,0.305,0.432
2019-08-18,3.815,1.738,2.917,10.601,1.654,1.046,0.0,0.488,9.415,3.705,1.445,0.534,1.204,2.734,0.984,1.026,8.125,1.102,0.733,0.166,0.952,1.4,0.684,3.245,0.346,2.424,0.392,0.658,0.311,2.187,0.997,1.774,3.178,1.389,4.01,1.443,5.148,0.502,1.803,0.355,1.492,24.557,0.826,3.452,0.004,1.721,1.479,0.238,0.457
2019-08-19,4.092,1.859,3.033,11.317,1.041,0.997,0.0,0.525,9.796,4.002,1.697,0.451,1.886,2.73,1.093,1.084,8.725,0.863,0.721,0.166,1.226,2.186,0.797,3.484,0.177,2.618,0.355,0.687,0.339,2.075,1.013,1.801,2.986,1.396,4.22,1.538,5.208,0.524,1.904,0.329,1.592,25.772,0.739,3.679,0.0,1.787,2.24,0.247,0.29
2019-08-20,4.19,1.896,3.111,11.654,0.842,1.149,0.0,0.534,9.812,4.135,1.463,0.423,1.148,2.524,0.994,1.041,8.928,1.088,0.733,0.163,1.532,1.282,0.619,3.564,0.171,2.627,0.321,0.577,0.338,2.376,1.019,1.835,3.825,1.333,4.305,1.493,5.706,0.535,1.925,0.251,1.536,26.029,0.761,3.74,0.03,1.638,1.703,0.258,0.242
2019-08-21,4.218,1.905,3.111,11.567,1.382,1.25,0.0,0.537,9.646,4.127,1.484,0.394,0.558,2.746,1.085,1.198,8.893,1.308,0.675,0.177,0.98,1.952,0.728,3.583,0.103,2.675,0.412,0.673,0.324,2.693,1.031,1.841,4.17,1.666,4.278,1.602,5.543,0.541,1.89,0.359,1.644,25.728,0.744,3.739,0.039,1.805,1.224,0.312,0.353
2019-08-22,4.261,1.949,3.083,11.603,2.075,0.99,0.0,0.543,9.779,4.193,2.24,0.532,4.269,3.452,1.269,1.228,8.96,0.723,0.717,0.162,4.581,2.275,1.06,3.617,0.183,2.67,0.417,0.903,0.351,2.135,1.1,1.871,3.451,4.426,4.3,1.63,5.839,0.53,1.922,0.385,1.706,25.923,0.764,3.794,0.007,1.86,2.379,0.38,0.388
2019-08-23,4.169,1.978,2.914,11.552,1.81,1.312,0.151,0.53,9.765,4.096,2.307,0.648,5.537,4.579,1.299,1.848,8.896,1.381,1.279,0.173,4.728,2.272,1.295,3.531,0.353,2.66,0.405,0.865,0.325,3.065,1.079,1.839,5.288,6.177,4.264,1.581,7.581,0.547,1.903,0.38,1.789,25.631,1.045,3.889,0.058,1.825,2.413,0.599,0.418
2019-08-24,3.946,1.866,2.86,10.999,1.975,1.463,0.199,0.497,9.458,3.908,2.209,0.513,5.257,4.727,1.286,1.598,8.391,1.852,1.378,0.173,4.533,2.119,1.415,3.343,0.237,2.761,0.306,0.865,0.299,3.684,1.055,1.804,6.295,6.115,4.078,1.479,7.749,0.533,1.816,0.358,1.772,24.714,0.955,3.769,0.056,1.768,2.284,0.626,0.448
2019-08-25,3.774,1.799,2.895,10.309,1.247,1.512,0.217,0.484,9.441,3.846,2.109,0.514,5.088,4.561,1.26,1.561,8.093,1.866,1.414,0.172,4.363,2.043,1.294,3.208,0.319,2.741,0.317,0.803,0.297,3.906,0.994,1.777,6.387,5.872,3.985,1.437,7.559,0.534,1.817,0.348,1.8,24.368,0.745,3.711,0.055,1.743,2.203,0.601,0.328
2019-08-26,4.038,1.923,3.038,10.972,1.643,1.647,0.227,0.52,9.819,4.196,2.092,0.66,4.4,4.134,1.257,1.549,8.701,2.046,1.5,0.184,4.591,2.186,1.162,3.437,0.367,3.056,0.401,0.77,0.319,4.283,0.994,1.816,6.913,6.041,4.206,1.538,8.127,0.574,1.928,0.35,2.012,25.812,1.021,3.975,0.058,1.814,2.359,0.636,0.474
2019-08-27,4.16,1.945,3.099,11.382,2.667,1.648,0.212,0.528,9.824,4.265,2.122,0.641,2.138,3.729,1.318,1.482,8.928,2.037,1.467,0.185,3.044,2.27,1.142,3.539,0.363,3.027,0.423,0.896,0.32,4.393,1.029,1.857,6.965,4.776,4.279,1.138,8.279,0.578,1.941,0.391,1.89,26.026,1.178,3.998,0.058,1.543,2.321,0.548,0.489
2019-08-28,4.199,1.966,3.063,11.498,2.361,1.496,0.139,0.533,9.699,4.206,2.328,0.519,5.274,4.514,1.38,1.508,8.89,1.969,1.248,0.183,4.585,2.296,1.412,3.562,0.342,2.866,0.421,0.941,0.316,3.382,1.064,1.861,5.495,4.594,4.25,0.912,7.33,0.571,1.896,0.392,1.941,25.575,0.995,3.928,0.039,0.837,2.377,0.47,0.473
2019-08-29,4.222,1.985,3.024,11.716,1.511,1.331,0.153,0.539,9.83,4.309,2.091,0.431,4.991,4.717,1.215,1.681,8.96,1.634,1.299,0.186,4.685,2.279,1.241,3.584,0.303,2.981,0.419,0.75,0.325,3.39,1.07,1.871,5.444,6.334,4.3,1.235,7.854,0.559,1.937,0.386,2.143,25.908,0.822,4.008,0.044,1.118,2.376,0.63,0.388
2019-08-30,4.13,1.967,2.986,11.509,1.983,1.484,0.142,0.529,9.734,4.242,2.309,0.48,4.847,3.978,1.216,1.982,8.907,1.71,1.252,0.182,4.182,2.306,1.171,3.509,0.35,2.935,0.421,0.877,0.318,3.778,1.066,1.852,6.13,4.397,4.273,1.562,7.517,0.56,1.919,0.39,1.976,25.659,0.757,3.94,0.058,1.797,2.371,0.535,0.419
2019-08-31,3.926,1.863,2.972,10.948,1.763,1.342,0.077,0.5,9.471,3.98,2.216,0.469,5.26,4.489,1.348,1.261,8.408,1.592,1.007,0.172,4.52,2.191,1.339,3.325,0.332,2.701,0.4,0.911,0.297,3.203,1.04,1.813,5.647,5.898,4.08,1.469,7.105,0.523,1.82,0.372,1.734,24.705,0.787,3.628,0.056,1.731,2.27,0.398,0.396
2019-09-01,3.799,1.612,2.858,9.713,0.752,1.088,0.056,0.374,9.477,3.589,1.894,0.349,3.581,3.927,1.113,1.21,7.936,1.19,0.836,0.175,3.03,1.778,1.083,3.063,0.137,2.513,0.317,0.646,0.217,2.57,0.797,1.56,4.068,4.742,3.395,1.261,5.925,0.373,1.728,0.301,1.669,22.166,0.473,3.095,0.041,1.534,1.784,0.395,0.256
2019-09-02,4.093,1.717,2.941,10.383,0.585,1.123,0.052,0.401,9.862,3.832,1.608,0.373,3.739,3.771,1.057,1.292,8.533,1.253,0.861,0.187,3.11,1.718,1.058,3.318,0.118,2.673,0.336,0.586,0.231,2.664,0.823,1.588,4.027,3.626,3.578,1.44,6.001,0.398,1.826,0.261,1.752,23.316,0.465,3.308,0.044,1.604,1.865,0.39,0.196
2019-09-03,4.208,1.755,2.947,10.825,0.861,1.041,0.051,0.409,9.862,3.893,1.359,0.376,1.742,3.694,0.976,1.388,8.733,1.099,0.863,0.186,3.156,1.498,0.882,3.401,0.205,2.604,0.343,0.503,0.232,2.474,0.821,1.609,3.809,4.09,3.652,1.472,6.06,0.393,1.836,0.262,1.69,23.569,0.505,3.364,0.043,1.597,1.869,0.396,0.268
2019-09-04,4.252,1.745,2.93,10.832,1.175,1.018,0.014,0.412,9.729,3.882,2.064,0.37,3.715,3.558,1.061,1.278,8.705,1.063,0.688,0.187,3.176,1.961,0.999,3.447,0.08,2.591,0.345,0.691,0.23,2.437,0.815,1.609,3.58,3.202,3.639,1.496,5.545,0.39,1.804,0.325,1.69,23.338,0.546,3.317,0.042,1.648,1.95,0.327,0.259
2019-09-05,4.288,1.762,2.896,10.947,0.805,1.183,0.053,0.415,10.006,3.921,1.994,0.361,4.205,4.677,1.062,1.631,8.786,1.283,0.884,0.189,3.407,1.931,1.249,3.472,0.146,2.71,0.302,0.59,0.236,2.78,0.85,1.628,4.443,5.467,3.666,1.273,6.759,0.407,1.843,0.268,1.881,23.562,0.527,3.415,0.045,1.521,1.998,0.514,0.211
2019-09-06,4.145,1.744,2.846,10.865,1.055,1.186,0.082,0.406,9.933,3.925,1.735,0.418,3.881,4.486,1.033,2.254,8.734,1.309,1.012,0.189,3.373,1.701,0.991,3.372,0.245,2.677,0.321,0.597,0.234,3.045,0.832,1.609,4.485,5.44,3.646,1.317,6.717,0.406,1.821,0.286,2.006,23.405,0.65,3.414,0.044,1.212,1.94,0.574,0.276
2019-09-07,3.959,1.649,2.85,10.481,1.208,1.1,0.093,0.383,9.5,3.693,1.96,0.48,3.721,4.282,1.076,1.434,8.249,1.196,1.029,0.178,3.131,1.833,1.208,3.218,0.274,2.531,0.334,0.7,0.22,2.704,0.824,1.579,4.168,4.909,3.489,1.399,6.299,0.379,1.729,0.312,1.72,22.604,0.672,3.243,0.042,1.575,1.837,0.473,0.368
2019-09-08,3.808,1.598,2.776,10.118,1.443,1.089,0.089,0.373,9.503,3.495,1.893,0.49,3.672,4.208,0.956,1.451,7.956,1.179,0.998,0.176,3.077,1.841,1.08,3.084,0.279,2.358,0.332,0.676,0.216,2.755,0.832,1.521,4.142,4.899,3.409,1.374,6.154,0.374,1.716,0.315,1.851,22.197,0.679,3.147,0.042,1.577,1.821,0.495,0.371
2019-09-09,4.113,1.703,2.788,10.819,1.584,1.169,0.07,0.401,9.907,3.784,1.893,0.576,3.846,4.115,0.951,1.418,8.534,1.299,0.947,0.188,3.326,1.947,0.913,3.332,0.295,2.557,0.347,0.681,0.233,2.883,0.885,1.538,4.447,5.185,3.585,1.483,6.573,0.402,1.815,0.323,1.794,23.237,0.85,3.342,0.046,1.665,1.964,0.459,0.382
2019-09-10,4.222,1.752,2.763,11.321,1.463,1.183,0.067,0.408,9.908,3.846,1.341,0.59,1.457,3.013,0.95,1.203,8.73,1.311,0.941,0.191,3.174,1.315,0.721,3.411,0.296,2.618,0.349,0.602,0.235,2.836,0.88,1.552,4.419,3.428,3.656,1.546,6.078,0.407,1.834,0.306,1.61,23.431,0.846,3.395,0.045,1.712,1.872,0.358,0.385
2019-09-11,4.244,1.743,2.671,11.373,1.347,1.004,0.016,0.411,9.714,3.863,1.32,0.599,0.185,2.613,0.944,1.151,8.698,0.995,0.7,0.185,0.9,1.9,0.757,3.427,0.298,2.616,0.351,0.53,0.235,2.257,0.885,1.534,3.096,1.594,3.64,1.543,5.087,0.392,1.803,0.323,1.622,23.249,0.891,3.34,0.033,1.697,1.867,0.241,0.389
2019-09-12,4.306,1.753,2.741,11.2,1.697,1.07,0.0,0.417,9.853,3.937,1.442,0.594,2.222,2.681,1.01,1.155,8.769,1.281,0.575,0.19,3.206,2.026,0.756,3.476,0.298,2.598,0.359,0.63,0.236,2.15,0.906,1.571,3.706,2.511,3.667,1.52,5.108,0.407,1.838,0.332,1.634,23.492,0.919,3.3,0.044,1.675,1.999,0.266,0.402
2019-09-13,4.216,1.745,2.764,10.833,1.695,1.216,0.084,0.406,9.808,3.845,1.965,0.566,1.636,2.816,1.226,1.466,8.722,1.348,1.022,0.191,3.163,2.006,1.01,3.42,0.286,2.689,0.356,0.78,0.236,3.064,0.902,1.579,4.574,2.3,3.629,1.48,6.681,0.411,1.822,0.336,1.567,23.263,0.884,3.409,0.046,1.644,1.935,0.346,0.397
2019-09-14,3.957,1.667,2.799,10.265,1.397,1.118,0.057,0.384,9.524,3.683,1.963,0.517,3.648,3.88,1.122,1.284,8.227,1.254,0.856,0.18,3.06,1.886,1.211,3.205,0.27,2.548,0.332,0.679,0.222,2.781,0.877,1.56,4.166,3.63,3.473,1.41,6.247,0.384,1.734,0.312,1.629,22.49,0.806,3.193,0.043,1.616,1.86,0.423,0.373
2019-09-15,3.804,1.595,2.754,9.863,1.172,0.96,0.042,0.375,9.479,3.538,1.383,0.444,2.377,3.537,0.904,1.287,7.937,1.004,0.77,0.173,2.937,1.535,0.833,3.076,0.241,2.378,0.293,0.532,0.214,2.151,0.912,1.535,3.6,4.458,3.405,1.382,5.748,0.364,1.721,0.238,1.598,22.095,0.653,3.094,0.041,1.593,1.718,0.448,0.344
2019-09-16,4.121,1.7,2.791,10.731,1.214,1.158,0.059,0.401,9.865,3.767,1.326,0.508,2.669,3.108,0.968,1.247,8.521,1.277,0.893,0.187,2.494,1.097,0.713,3.332,0.198,2.598,0.247,0.534,0.232,2.87,0.941,1.548,4.365,3.483,3.58,1.509,6.053,0.4,1.819,0.238,1.638,23.21,0.669,3.324,0.045,1.692,1.843,0.387,0.309
2019-09-17,4.229,1.741,2.776,11.322,1.233,1.185,0.054,0.408,9.896,3.832,1.511,0.604,3.858,3.795,0.983,1.262,8.723,1.324,0.877,0.191,3.229,0.793,0.823,3.416,0.279,2.638,0.189,0.5,0.236,2.877,0.912,1.541,4.428,4.964,3.655,1.587,6.556,0.408,1.836,0.212,1.591,23.387,0.863,3.382,0.045,1.755,1.911,0.399,0.376
2019-09-18,4.255,1.732,2.753,11.388,1.574,1.225,0.119,0.41,9.674,3.914,1.469,0.599,3.784,4.072,0.978,1.461,8.69,1.349,1.199,0.193,3.236,0.775,0.871,3.442,0.293,2.843,0.255,0.508,0.237,3.175,0.883,1.539,4.62,5.236,3.641,1.565,6.886,0.411,1.816,0.255,1.733,23.169,0.879,3.53,0.046,1.731,1.903,0.561,0.39
2019-09-19,4.264,1.765,2.768,11.527,1.513,1.262,0.131,0.418,9.792,4.117,1.48,0.612,3.091,3.779,1.066,1.496,8.752,1.401,1.27,0.194,3.217,1.283,1.069,3.461,0.296,3.167,0.321,0.54,0.24,3.341,0.891,1.557,4.801,5.315,3.66,1.581,7.098,0.42,1.869,0.296,1.906,23.394,0.856,3.665,0.046,1.739,1.896,0.601,0.383
2019-09-20,4.122,1.792,2.62,11.4,1.272,1.204,0.126,0.409,9.649,4.152,1.554,0.618,2.819,3.416,1.12,2.008,8.688,1.33,1.229,0.188,3.157,0.936,1.039,3.346,0.301,3.095,0.263,0.56,0.234,3.25,0.886,1.55,4.668,4.98,3.626,1.547,6.884,0.408,1.853,0.247,1.985,23.171,0.922,3.589,0.044,1.714,1.805,0.583,0.389
2019-09-21,3.904,1.696,2.575,10.714,1.592,1.077,0.096,0.382,9.357,3.885,1.443,0.591,2.514,2.967,1.041,1.325,8.196,1.174,1.045,0.174,2.048,0.886,1.114,3.134,0.291,2.759,0.298,0.558,0.217,2.872,0.906,1.507,4.169,3.142,3.473,1.45,6.212,0.374,1.748,0.266,1.845,22.409,0.912,3.29,0.039,1.656,1.571,0.412,0.392
2019-09-22,3.765,1.621,2.604,9.984,1.602,1.009,0.045,0.373,9.342,3.696,1.611,0.562,2.601,2.806,1.069,1.239,7.917,0.995,0.781,0.171,1.134,1.723,1.067,3.017,0.288,2.553,0.326,0.688,0.221,2.628,0.905,1.485,3.905,2.172,3.392,1.391,5.388,0.365,1.736,0.311,1.764,22.025,0.873,3.093,0.026,1.603,1.605,0.317,0.387
2019-09-23,4.081,1.73,2.708,10.736,1.667,0.945,0.004,0.403,9.592,3.914,2.047,0.572,3.279,3.344,1.275,1.429,8.509,0.804,0.629,0.165,2.204,1.918,1.299,3.28,0.29,2.747,0.34,0.775,0.245,2.022,0.926,1.522,2.945,3.464,3.567,1.509,5.178,0.386,1.834,0.326,1.901,23.17,0.865,3.27,0.007,1.689,1.884,0.404,0.386
2019-09-24,4.181,1.814,2.628,11.087,1.644,1.078,0.072,0.408,9.567,3.919,1.954,0.59,3.877,4.549,1.215,1.724,8.712,1.071,0.963,0.185,3.288,1.931,1.493,3.371,0.292,2.734,0.344,0.702,0.234,2.529,0.947,1.544,4.152,5.367,3.638,1.531,6.65,0.395,1.843,0.325,2.027,23.389,0.881,3.419,0.043,1.723,1.944,0.583,0.386
2019-09-25,4.206,1.805,2.61,10.92,1.631,1.199,0.113,0.408,9.504,4.039,1.826,0.592,3.409,4.416,1.126,1.705,8.673,1.3,1.164,0.19,3.241,1.924,1.303,3.394,0.297,2.884,0.352,0.72,0.234,3.12,0.918,1.56,4.563,5.273,3.633,1.547,6.834,0.406,1.81,0.331,2.142,23.243,0.869,3.529,0.045,1.727,1.886,0.584,0.39
2019-09-26,4.284,1.808,2.606,11.195,1.664,1.191,0.081,0.414,9.7,3.971,2.135,0.6,3.904,4.42,1.325,1.613,8.742,1.304,1.019,0.191,3.303,2.032,1.503,3.445,0.301,2.714,0.358,0.821,0.236,3.085,0.905,1.579,4.557,5.221,3.655,1.554,6.798,0.409,1.84,0.341,1.972,23.46,0.872,3.471,0.044,1.722,2.006,0.533,0.394
2019-09-27,4.191,1.789,2.527,11.323,1.647,1.197,0.107,0.406,9.685,3.894,2.064,0.59,4.026,4.595,1.119,2.176,8.68,1.298,1.135,0.189,3.479,1.94,1.279,3.371,0.312,2.659,0.358,0.781,0.234,3.077,0.93,1.555,4.582,5.365,3.644,1.565,6.802,0.405,1.822,0.332,1.856,23.184,0.854,3.454,0.045,1.749,1.992,0.566,0.401
2019-09-28,3.964,1.672,2.544,11.089,1.655,1.117,0.084,0.383,9.349,3.674,2.003,0.605,3.674,3.061,1.22,1.215,8.21,1.215,0.987,0.177,3.034,1.947,1.064,3.196,0.314,2.469,0.349,0.795,0.219,2.926,0.919,1.507,4.273,3.206,3.484,1.513,6.276,0.381,1.734,0.332,1.63,22.384,0.838,3.212,0.041,1.747,1.896,0.366,0.394
2019-09-29,3.816,1.601,2.533,10.866,1.556,1.079,0.036,0.374,9.348,3.518,1.97,0.625,3.756,3.613,1.064,1.171,7.93,1.17,0.741,0.174,3.171,1.898,1.149,3.064,0.329,2.333,0.343,0.731,0.216,2.435,0.891,1.51,4.081,4.009,3.398,1.491,5.553,0.372,1.72,0.319,1.51,22.035,0.882,3.05,0.042,1.74,1.904,0.326,0.385
2019-09-30,4.121,1.72,2.576,11.694,1.624,1.227,0.109,0.4,9.783,3.771,1.501,0.662,3.18,3.354,0.959,1.159,8.51,1.371,1.135,0.194,3.272,1.871,0.893,3.304,0.348,2.634,0.362,0.516,0.237,3.074,0.909,1.551,4.627,3.114,3.58,1.606,6.672,0.41,1.818,0.323,1.606,23.182,0.976,3.369,0.047,1.813,1.919,0.367,0.405
2019-10-01,3.706,1.686,2.622,11.852,1.875,1.044,0.026,0.381,9.289,3.377,1.443,0.713,0.0,2.441,0.778,0.933,8.285,1.423,0.708,0.226,1.959,2.116,0.597,2.859,0.386,2.32,0.314,0.704,0.314,2.607,0.858,1.413,3.804,1.584,3.074,1.694,5.404,0.506,1.61,0.32,1.027,20.61,0.907,2.432,0.047,1.98,1.844,0.3,0.441
