date,AL,AR,CA,CO,IA,IL,IN,KS,KY,LA,MD,MI,MN,MO,MS,MT,NE,NM,NY,OH,OK,OR,PA,TN,TX,UT,VA,WA,WV,WY
2019-01-01,0.06096790932501027,0.01635817560819171,-0.38288701212449255,-0.06605219962445322,-0.21061317345475503,-0.7080366021246398,-0.07549693457152797,0.22618212485897923,-0.25091660080088285,0.8212956093842027,-0.03562114508186907,-1.5946918852642897,-0.004664072137006965,-0.008525923866448732,0.372182505156383,-0.17928604801600795,-0.01148755672024796,-0.054235125793790064,-0.248155359293912,-0.4939274226145251,0.35970437879390826,-0.020497579947728783,-0.8323290172082041,-0.0041976649233062685,1.0004521540161821,-0.049880918031444205,-0.009596297554842322,-0.025186836499207194,-0.5232279011037901,-0.06762958038548517
2019-01-02,0.06096790932501027,0.01635817560819171,-0.38288701212449255,-0.06605219962445322,-0.21061317345475503,-0.7080366021246398,-0.07549693457152797,0.22618212485897923,-0.25091660080088285,0.8212956093842027,-0.03562114508186907,-1.5946918852642897,-0.004664072137006965,-0.008525923866448732,0.372182505156383,-0.17928604801600795,-0.01148755672024796,-0.054235125793790064,-0.248155359293912,-0.4939274226145251,0.35970437879390826,-0.020497579947728783,-0.8323290172082041,-0.0041976649233062685,1.0004521540161821,-0.049880918031444205,-0.009596297554842322,-0.025186836499207194,-0.5232279011037901,-0.06762958038548517
2019-01-03,0.06096790932501027,0.01635817560819171,-0.38288701212449255,-0.06605219962445322,-0.21061317345475503,-0.7080366021246398,-0.07549693457152797,0.22618212485897923,-0.25091660080088285,0.8212956093842027,-0.03562114508186907,-1.5946918852642897,-0.004664072137006965,-0.008525923866448732,0.372182505156383,-0.17928604801600795,-0.01148755672024796,-0.054235125793790064,-0.248155359293912,-0.4939274226145251,0.35970437879390826,-0.020497579947728783,-0.8323290172082041,-0.0041976649233062685,1.0004521540161821,-0.049880918031444205,-0.009596297554842322,-0.025186836499207194,-0.5232279011037901,-0.06762958038548517
2019-01-04,-0.03962914106125667,-0.010632814145324613,-2.0420640646639603,-0.33026099812226606,-0.36857305354582126,-1.2390640537181197,-0.13211963550017392,-0.14701838115833651,-0.43910405140154496,-0.5338421460997317,-0.02374743005457938,-2.7907107992125066,-0.008162126239762188,-0.014920366766285281,-0.24191862835164898,-0.8964302400800397,-0.0574377836012398,-0.2711756289689503,-0.16543690619594134,-0.3292849484096834,-0.2338078462160404,-0.10932042638788683,-0.5548860114721361,-0.00734591361578597,-0.6502939001105184,-0.24940459015722102,-0.006397531703228214,-0.13432979466243836,-0.34881860073586013,-0.33814790192742583
2019-01-05,-0.03962914106125667,-0.010632814145324613,-2.0420640646639603,-0.33026099812226606,-0.36857305354582126,-1.2390640537181197,-0.13211963550017392,-0.14701838115833651,-0.43910405140154496,-0.5338421460997317,-0.02374743005457938,-2.7907107992125066,-0.008162126239762188,-0.014920366766285281,-0.24191862835164898,-0.8964302400800397,-0.0574377836012398,-0.2711756289689503,-0.16543690619594134,-0.3292849484096834,-0.2338078462160404,-0.10932042638788683,-0.5548860114721361,-0.00734591361578597,-0.6502939001105184,-0.24940459015722102,-0.006397531703228214,-0.13432979466243836,-0.34881860073586013,-0.33814790192742583
2019-01-06,-0.03962914106125667,-0.010632814145324613,-2.0420640646639603,-0.33026099812226606,-0.36857305354582126,-1.2390640537181197,-0.13211963550017392,-0.14701838115833651,-0.43910405140154496,-0.5338421460997317,-0.02374743005457938,-2.7907107992125066,-0.008162126239762188,-0.014920366766285281,-0.24191862835164898,-0.8964302400800397,-0.0574377836012398,-0.2711756289689503,-0.16543690619594134,-0.3292849484096834,-0.2338078462160404,-0.10932042638788683,-0.5548860114721361,-0.00734591361578597,-0.6502939001105184,-0.24940459015722102,-0.006397531703228214,-0.13432979466243836,-0.34881860073586013,-0.33814790192742583
2019-01-07,-0.03962914106125667,-0.010632814145324613,-2.0420640646639603,-0.33026099812226606,-0.36857305354582126,-1.2390640537181197,-0.13211963550017392,-0.14701838115833651,-0.43910405140154496,-0.5338421460997317,-0.02374743005457938,-2.7907107992125066,-0.008162126239762188,-0.014920366766285281,-0.24191862835164898,-0.8964302400800397,-0.0574377836012398,-0.2711756289689503,-0.16543690619594134,-0.3292849484096834,-0.2338078462160404,-0.10932042638788683,-0.5548860114721361,-0.00734591361578597,-0.6502939001105184,-0.24940459015722102,-0.006397531703228214,-0.13432979466243836,-0.34881860073586013,-0.33814790192742583
2019-01-08,-0.03962914106125667,-0.010632814145324613,-2.0420640646639603,-0.33026099812226606,-0.36857305354582126,-1.2390640537181197,-0.13211963550017392,-0.14701838115833651,-0.43910405140154496,-0.5338421460997317,-0.02374743005457938,-2.7907107992125066,-0.008162126239762188,-0.014920366766285281,-0.24191862835164898,-0.8964302400800397,-0.0574377836012398,-0.2711756289689503,-0.16543690619594134,-0.3292849484096834,-0.2338078462160404,-0.10932042638788683,-0.5548860114721361,-0.00734591361578597,-0.6502939001105184,-0.24940459015722102,-0.006397531703228214,-0.13432979466243836,-0.34881860073586013,-0.33814790192742583
2019-01-09,-0.03962914106125667,-0.010632814145324613,-2.0420640646639603,-0.33026099812226606,-0.36857305354582126,-1.2390640537181197,-0.13211963550017392,-0.14701838115833651,-0.43910405140154496,-0.5338421460997317,-0.02374743005457938,-2.7907107992125066,-0.008162126239762188,-0.014920366766285281,-0.24191862835164898,-0.8964302400800397,-0.0574377836012398,-0.2711756289689503,-0.16543690619594134,-0.3292849484096834,-0.2338078462160404,-0.10932042638788683,-0.5548860114721361,-0.00734591361578597,-0.6502939001105184,-0.24940459015722102,-0.006397531703228214,-0.13432979466243836,-0.34881860073586013,-0.33814790192742583
2019-01-10,-0.03962914106125667,-0.010632814145324613,-2.0420640646639603,-0.33026099812226606,-0.36857305354582126,-1.2390640537181197,-0.13211963550017392,-0.14701838115833651,-0.43910405140154496,-0.5338421460997317,-0.02374743005457938,-2.7907107992125066,-0.008162126239762188,-0.014920366766285281,-0.24191862835164898,-0.8964302400800397,-0.0574377836012398,-0.2711756289689503,-0.16543690619594134,-0.3292849484096834,-0.2338078462160404,-0.10932042638788683,-0.5548860114721361,-0.00734591361578597,-0.6502939001105184,-0.24940459015722102,-0.006397531703228214,-0.13432979466243836,-0.34881860073586013,-0.33814790192742583
