Date,AK,AZ,CA,FL,GA,ID,LA,MD,ME,MI,MN,MT,ND,NH,NJ,NY,TX,WA
2015-03-12,0.0,151.19329487559773,292.4897922240862,0.0,0.0,0.0,0.0,0.0,15.297855488800133,2123.4201020887235,18.968212524072598,0.14601585314977053,0.0,0.0,0.0,418.26912495571605,1841.288444436085,15.633884837578242
2015-03-13,0.0,150.21575202079862,295.4342914211577,0.0,0.0,0.0,0.0,0.0,15.467336103544856,2143.425668467247,18.850478791164562,0.14601585314977053,0.0,0.0,0.0,424.3711768944982,1854.553775186838,14.954886129794705
2015-03-14,0.0,149.23820916599948,298.37879061822906,0.0,0.0,0.0,0.0,0.0,15.63681671828958,2163.4312348457706,18.732745058256526,0.14601585314977053,0.0,0.0,0.0,430.4732288332804,1867.8191059375904,14.275887422011168
2015-03-15,0.0,148.2606663112004,301.3232898153005,0.0,0.0,0.0,0.0,0.0,15.806297333034307,2183.4368012242935,18.615011325348494,0.14601585314977053,0.0,0.0,0.0,436.5752807720626,1881.0844366883434,13.59688871422763
2015-03-16,0.0,147.28312345640128,304.26778901237185,0.0,0.0,0.0,0.0,0.0,15.97577794777903,2203.4423676028173,18.49727759244045,0.14601585314977053,0.0,0.0,0.0,442.6773327108448,1894.3497674390962,12.917890006444093
2015-03-17,0.0,146.30558060160214,307.2122882094433,0.0,0.0,0.0,0.0,0.0,16.145258562523754,2223.44793398134,18.37954385953242,0.14601585314977053,0.0,0.0,0.0,448.77938464962705,1907.6150981898488,12.238891298660556
2015-03-18,0.0,145.32803774680303,310.1567874065147,0.0,0.0,0.0,0.0,0.0,16.31473917726848,2243.453500359864,18.26181012662438,0.14601585314977053,0.0,0.0,0.0,454.88143658840926,1920.8804289406019,11.559892590877018
2015-03-19,0.0,144.3504948920039,313.10128660358606,0.0,0.0,0.0,0.0,0.0,16.484219792013203,2263.459066738387,18.144076393716343,0.14601585314977053,0.0,0.0,0.0,460.9834885271914,1934.1457596913544,10.880893883093481
2015-03-20,0.0,143.37295203720478,316.04578580065754,0.0,0.0,0.0,0.0,0.0,16.653700406757924,2283.4646331169106,18.026342660808304,0.14601585314977053,0.0,0.0,0.0,467.08554046597357,1947.4110904421073,10.201895175309945
2015-03-21,0.0,142.39540918240564,318.99028499772885,0.0,0.0,0.0,0.0,0.0,16.823181021502652,2303.470199495434,17.90860892790027,0.14601585314977053,0.0,0.0,0.0,473.1875924047558,1960.67642119286,9.52289646752641
2015-03-22,0.0,141.41786632760653,321.9347841948003,0.0,0.0,0.0,0.0,0.0,16.992661636247377,2323.4757658739572,17.790875194992232,0.14601585314977053,0.0,0.0,0.0,479.289644343538,1973.9417519436129,8.84389775974287
2015-03-23,0.0,141.41786632760653,321.9347841948003,0.0,0.0,0.0,0.0,0.0,16.992661636247377,2323.4757658739572,17.790875194992232,0.14601585314977053,0.0,0.0,0.0,479.289644343538,1973.9417519436129,8.84389775974287
2015-03-24,0.0,141.41786632760653,321.9347841948003,0.0,0.0,0.0,0.0,0.0,16.992661636247377,2323.4757658739572,17.790875194992232,0.14601585314977053,0.0,0.0,0.0,479.289644343538,1973.9417519436129,8.84389775974287
