Date,AK,CA,GA,ID,LA,MA,MD,ME,MI,MN,MT,ND,NH,NY,TX,VT,WA
2019-03-09,0.0,2.967434497087638,0.0,2092.284409094561,0.0,203.36369454756323,0.0,289.0731141986771,52.39555892590666,688.4677040900957,1181.8534786039183,1275.0645961985,277.3091159748351,881.9141338091116,1.0802533503263432,50.454229388961714,899.6152352493762
2019-03-10,0.0,2.9943436487392114,0.0,2093.756660570506,0.0,198.2887301338471,0.0,288.21889898344995,51.050483287876006,691.5752985830635,1183.386553729165,1277.6091509960706,277.62744186876745,874.7348376287636,1.0797954218183625,50.44520345080447,899.3168744335629
2019-03-11,0.0,3.0212528003907844,0.0,2095.2289120464516,0.0,193.21376572013097,0.0,287.36468376822285,49.70540764984534,694.6828930760311,1184.9196288544115,1280.1537057936416,277.94576776269975,867.5555414484155,1.0793374933103819,50.436177512647234,899.0185136177499
2019-03-12,0.0,3.0481619520423577,0.0,2096.701163522396,0.0,188.13880130641482,0.0,286.51046855299575,48.36033201181466,697.7904875689986,1186.4527039796578,1282.698260591212,278.264093656632,860.3762452680676,1.078879564802401,50.42715157448998,898.7201528019367
2019-03-13,0.0,3.0750711036939316,0.0,2098.1734149983417,0.0,183.06383689269865,0.0,285.65625333776865,47.015256373784,700.8980820619663,1187.9857791049044,1285.242815388783,278.58241955056434,853.1969490877195,1.0784216362944203,50.41812563633275,898.4217919861235
2019-03-14,0.0,3.1019802553455045,0.0,2099.6456664742864,0.0,177.98887247898253,0.0,284.8020381225415,45.67018073575334,704.0056765549339,1189.5188542301512,1287.7873701863534,278.9007454444966,846.0176529073715,1.07796370778644,50.40909969817551,898.1234311703103
2019-03-15,0.0,3.128889406997078,0.0,2101.1179179502315,0.0,172.91390806526638,0.0,283.9478229073144,44.32510509772268,707.1132710479015,1191.051929355398,1290.3319249839244,279.219071338429,838.8383567270234,1.077505779278459,50.40007376001826,897.825070354497
2019-03-16,0.0,3.1557985586486517,0.0,2102.590169426177,0.0,167.83894365155024,0.0,283.09360769208723,42.980029459692005,710.2208655408692,1192.5850044806446,1292.8764797814952,279.53739723236123,831.6590605466754,1.0770478507704786,50.39104782186103,897.5267095386839
2019-03-17,0.0,3.1919146431793584,0.0,2111.0861849082403,0.0,163.6053250968578,0.0,283.24196359556186,41.852863415134934,715.5598767691523,1198.0642140737177,1299.6513170217022,280.7828994199741,827.6774934184633,1.0802533503263432,50.55274979867803,900.2766611640587
2019-03-18,0.0,3.2320989763123746,0.0,2122.050571930499,0.0,159.49233796870516,0.0,283.7071757105263,40.75591926483997,721.7710735782542,1204.9537502654396,1307.9680700409585,282.35837319409694,824.55805642442,1.0847054330428216,50.77295719271426,904.0666417142048
